name_part1,material,name_part2,name_fluid1,technique,direction,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
SiC,SiC,,water,,,Ceramic,,,,PVA,0.085,,0.0,5.0,1.0,873.0,0.12,0.65
SiO2,Kaolinite/SiO2,kaolinite,water,,,Ceramic,rubber,,,,,238.0,0.0,,12.0,1523.0,0.12,0.6
Y2SiO5,Y2SiO5,,water,,,Ceramic,,,0.01,,,,0.0,48.0,2.0,1773.0,0.4,0.8
SiO2,Silicate,,TBA,,,Ceramic,,ethyl cellulose ethoecel,0.005,PVP,0.005,193.0,0.0,72.0,,,0.3614,0.7
Al2O3,Al2O3,,Glycerine Ether,,,Ceramic,,,,polyethylene-imine,0.05,253.0,0.0,,3.0,1873.0,0.2,0.7
Mullite,Mullite,,TBA,radial,radial-in,Ceramic,PTFE,BYK-163,0.05,PVB,0.005,173.0,0.0,12.0,2.0,1823.0,0.3,0.66
YSZ,YSZ,,TBA,,,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.08,0.55
Al2O3,Al2O3,CuO,water,,,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.54
YSZ,YSZ,,TBA,,,Ceramic,,,,PVB,0.005,77.0,0.0,0.0,,873.0,0.15,0.755
polysiloxane,SiOC,,cyclohexane,one-sided,vertical-up,Polymer,,,,,,238.0,,48.0,4.0,1373.0,0.2,0.771
TiO2,TiO2,,water,one-sided,vertical-up,Ceramic,PVC,Darvan 811,0.01,PVA,0.01,,10.0,72.0,3.0,1273.0,0.1,0.848
Mullite,Mullite,,TBA,,,Ceramic,,BYK-163,0.05,PVB,0.05,,0.0,12.0,2.0,1973.0,0.3,0.56
Mullite,Mullite,,TBA,,,Ceramic,,BYK-163,0.05,PVB,0.05,253.0,0.0,12.0,2.0,1973.0,0.4,0.55
YSZ,YSZ,,water,,,Ceramic,,Darvan C,,Duramax B-1001,,,0.0,,0.5,773.0,0.5,0.41
Al2O3,Al2O3,TiO2,camphene,,,Ceramic,PTFE,Texaphor 963,0.018,,,,0.0,72.0,2.0,1573.0,0.25,0.73
SiO2,Mullite,Mullite,water,one-sided,vertical-up,Ceramic,PTFE,,,,,223.0,0.0,12.0,3.0,1673.0,0.17,0.15
PZT,PZT,,TBA,,,Ceramic,,,,,,,0.0,0.0,2.0,1598.0,0.15,0.379
HAP,BT/HAP,BT,water,,,Ceramic,PDMS,HydroDisper A160,0.01,,,,0.0,36.0,3.0,1373.0,0.2,0.59
Al2O3,Al2O3,,water,,,Ceramic,PDMS,HydroDisperser,0.01,PVA,0.01,83.0,0.0,24.0,3.0,1173.0,0.2,0.7
Bioglass,Bioglass,,camphene,,,Ceramic,,isostearic acid,,,,,0.0,24.0,1.0,1673.0,0.1,0.37
HAP,HAP/TCP,,camphene,,,Ceramic,"metal, NOI",Texaphor 963,0.06,,,296.0,0.0,20.0,1.0,1493.0,0.1,0.72
HAP,HAP,,water,,,Ceramic,,Duramax D3005,0.003,gelatin,0.1,,0.0,0.0,1.0,873.0,0.13,0.5849
SiO2,SiO2,,water,,,Ceramic,"plastic, noi",,,,,193.0,0.0,12.0,2.0,1573.0,0.1,0.89
TiH2,Ti,,camphene,,,Metal,polyethylene,Hypermer KD 4,0.01,,,306.0,0.0,,2.0,873.0,0.15,0.63
Mullite,Mullite,,TBA,,,Ceramic,,BYK-163,0.05,PVB,0.05,,0.0,12.0,2.0,2023.0,0.4,0.54
Al2O3,Al2O3,,water,,,Ceramic,,Darvan 812A,0.01,,,,0.0,,2.0,1563.0,0.3,0.65
Y2SiO5,Y2SiO5,,TBA,,,Ceramic,polyethylene,citric acid,,PVB,,,0.0,,1.0,1473.0,0.1,0.73
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,873.0,0.15,0.77
NiTiNbO,BADCy/NiTiNbO4,,water,,,Metal/Ceramic,,polyacrylic acid,0.001,PVA,0.01,203.0,0.0,96.0,0.5,873.0,0.35,0.5621
TiO2,TiO2,,water,,,Ceramic,silicone,NH4PAA,0.087,Duramax B-1000,0.03,,0.0,24.0,2.0,1573.0,0.3527,0.36
Al2O3,Al2O3,,water,,,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.45,0.28
SiO2,Mullite,,water,one-sided,vertical-up,Ceramic,PTFE,,,,,223.0,0.0,12.0,3.0,1673.0,0.04,0.6
YSZ,YSZ,,TBA,,,Ceramic,,,,,,,0.0,,2.0,1773.0,0.1,0.742
YSZ,Al2O3/ZrO2,Al2O3,water,,,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,24.0,,773.0,0.22,0.51
WO3,W,,water,,,Metal,Teflon,PEI,0.01,PEG,0.025,258.0,0.0,,8.0,1023.0,0.2,0.483
YSZ,YSZ,,TBA,,,Ceramic,,fish oil,,PVB,,,0.0,,,,0.5,0.65
chitosan,HAP/Chitosan//PMMA,HAP,water,,,Polymer,,acetic acid,,,,,0.0,0.0,,,0.09,0.338
Al2O3,Al2O3,,water,one-sided,vertical-up,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.53
HAP,HAP/Gelatin,,water,,,Ceramic/Polymer,,,,PVA,0.01,263.0,0.0,,2.0,1773.0,0.15,0.65
CuO,Cu,,water,,,Metal,polyproplyene,NOI,,agar,0.002,257.0,0.0,,2.0,1563.0,0.15,0.8
Al2O3,Al2O3,,camphene,one-sided,vertical-up,Ceramic,,Hypermer KD 4,0.03,,,253.0,,,12.0,316.0,0.15,0.77
Mullite,Al2O3/Mullite,,camphene,,,Ceramic,polyethylene,,,,,,0.0,24.0,1.0,773.0,0.1131,0.68
SiC,SiC,,water,,,Ceramic,,,,PVA,0.085,,0.0,5.0,1.0,873.0,0.12,0.745
Bioglass,Bioglass,,camphene,,,Ceramic,,isostearic acid,,,,,0.0,24.0,1.0,1673.0,0.1,0.59
SiC,SiC,chitosan,acetic acid,,,Ceramic,,,,,,,15.0,24.0,1.0,873.0,0.07,0.92
Yb2SiO5,Y2SiO5,,water,,,Ceramic,,ammonium polymethacrylate anionic dispersant,0.003,PVA,0.01,77.0,0.0,48.0,2.0,823.0,0.15,0.839
Al2O3,Al2O3,,water,,,Ceramic,polyethylene,SND 6800,0.01,PVA,0.005,,1.0,,2.0,1873.0,0.3,0.771
Si3N4,Si3N4,,benzoic acid,,,Ceramic,,,,,,,0.0,5.0,4.0,2023.0,0.16,0.62
Bioglass,Bioglass,,water,,,Ceramic,,,,,,,0.0,24.0,1.5,2073.0,0.05,0.8623
Al2O3,Al2O3,,water,,,Ceramic,,Darvan 811,0.03,,,243.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,Al2O3,CuO,water,,,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.4
Al2O3,Al2O3,,water,,,Ceramic,,Darvan 811,0.03,,,253.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,Al2O3,,camphene,,,Ceramic,,Texaphor 963,0.02,,,253.0,0.0,24.0,1.0,873.0,0.1,0.75
BaTiO3,BaTiO3,Al2O3,water,,,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,,2.0,1673.0,0.2,0.411
SiO2,SiO2,,water,,,Ceramic,"plastic, noi",,,,,193.0,0.0,12.0,2.0,1523.0,0.1,0.89
NiO,Ni-YSZ,YSZ,water,,,Metal/Ceramic,,Darvan CN,,Duramax HA-12,,213.0,0.0,12.0,1.0,573.0,0.15,0.6088
YSZ,YSZ,,TBA,,,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.06,0.52
HAP,Al2O3/HAP,Al2O3,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,,24.0,873.0,0.15,0.8496
WO3,W,,water,,,Metal,Teflon,,,,,253.0,0.0,,,1023.0,0.275,0.444
HAP,HAP/CP,(Ca10(PO4)6(OH)2),TBA,,,Ceramic,polyurethane,citric acid,0.01,,,,0.0,0.0,1.0,963.0,0.1,0.65
PZT,PZT,,TBA,,,Ceramic,polyamide,acacia,0.012,PVB,0.015,,0.0,0.0,2.0,1723.0,0.4,0.28
HAP,HAP,,water,,,Ceramic,PVC,Dynol 604,0.0075,PVA,0.015,253.0,0.0,,3.0,1673.0,0.1,0.67
YSZ,ZrO2/Al,,water,,,Metal/Ceramic,Teflon,Dolapix CE 64,,PEG,,,1.0,48.0,12.0,413.0,0.365,0.212
PLLA,PLA,,DMSO,one-sided,vertical-up,Polymer,,,,,,77.0,,,,,0.04,0.947
kaolinite,Mullite,Al2O3,water,,,Ceramic,"plastic, noi",,,,,233.0,0.0,24.0,2.0,1773.0,0.06,0.894
HAP,HAP,,water,,,Ceramic,silicone,,,PVA,0.02,255.0,0.0,24.0,2.0,873.0,0.2406,0.605
YSZ,YSZ,,TBA,,,Ceramic,,,,PVB,0.005,243.0,0.0,0.0,0.5,723.0,0.15,0.77
collagen,Apatite/Collagen,alginate,water,,,Ceramic/Polymer,,,,,,,,,,,0.02,0.922
HAP,HAP,,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,8.0,,2.0,1273.0,0.15,0.81
Bioglass,Bioglass,,water,,,Ceramic,PVC,Easysperse,0.005,PVA,0.01,253.0,0.0,,,773.0,0.125,0.7
Y2O3,Y2SiO5,SiO2,TBA,,,Ceramic,polyethylene,citric acid,0.01,,,,0.0,12.0,1.0,1053.0,0.1664,0.66
HAP,HAP/SiO2,SiO2,water,,,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,4.0,,24.0,873.0,0.15,0.8071
Al2O3,Al2O3,TiO2,camphene,,,Ceramic,PTFE,,,,,77.0,0.0,72.0,2.0,1773.0,0.25,0.37
fireclay,Clay,,water,,,Ceramic,polystyrene,Lioperse 511,0.004,gelatin,0.06,,0.0,24.0,1.0,873.0,0.1751,0.7398
YSZ,YSZ,,TBA,,,Ceramic,,fish oil,,PVB,,,0.0,,0.5,773.0,0.5,0.02
